Date,Temperature,Humidity,Windspeed,Visibility,Weather Type
2015-09-21 06:00:00,9,93,11,10,113
2015-09-21 07:00:00,10,86,12,10,113
2015-09-21 08:00:00,11,79,13,10,116
2015-09-21 09:00:00,12,72,14,10,116
2015-09-21 10:00:00,14,67,15,10,116
2015-09-21 11:00:00,15,62,17,10,122
2015-09-21 12:00:00,17,57,18,10,122
2015-09-21 13:00:00,17,57,19,10,122
2015-09-21 14:00:00,17,57,19,10,119
2015-09-21 15:00:00,18,57,19,10,119
2015-09-21 16:00:00,17,60,17,10,119
2015-09-21 17:00:00,16,62,15,10,122
2015-09-21 18:00:00,15,64,13,10,122
2015-09-21 19:00:00,14,65,13,10,122
2015-09-21 20:00:00,14,66,12,10,176
2015-09-21 21:00:00,13,67,12,10,176
2015-09-21 22:00:00,13,73,13,9,176
2015-09-21 23:00:00,13,80,14,9,302
2015-09-22 00:00:00,13,86,15,8,302
2015-09-22 01:00:00,13,89,14,8,302
2015-09-22 02:00:00,13,92,13,9,116
2015-09-22 03:00:00,13,95,12,9,116
2015-09-22 04:00:00,12,95,11,7,116
2015-09-22 05:00:00,12,96,10,5,248
2015-09-22 06:00:00,11,97,8,3,248
2015-09-22 07:00:00,12,93,9,4,248
2015-09-22 08:00:00,12,90,9,6,353
2015-09-22 09:00:00,13,86,10,7,353
2015-09-22 10:00:00,13,86,10,8,353
2015-09-22 11:00:00,14,86,10,8,296
2015-09-22 12:00:00,15,86,10,9,296
2015-09-22 13:00:00,15,83,10,9,296
2015-09-22 14:00:00,14,80,9,9,176
2015-09-22 15:00:00,14,77,9,9,176
2015-09-22 16:00:00,14,79,9,9,176
2015-09-22 17:00:00,14,81,8,9,176
2015-09-22 18:00:00,14,82,8,9,176
2015-09-22 19:00:00,13,86,8,7,176
2015-09-22 20:00:00,13,89,9,6,143
2015-09-22 21:00:00,12,93,9,4,143
2015-09-22 22:00:00,12,94,10,4,143
2015-09-22 23:00:00,12,95,10,3,143
2015-09-23 00:00:00,12,96,11,2,143
2015-09-23 01:00:00,11,96,11,4,143
2015-09-23 02:00:00,11,96,11,6,353
2015-09-23 03:00:00,10,97,12,7,353
2015-09-23 04:00:00,11,96,13,8,353
2015-09-23 05:00:00,11,96,14,9,122
2015-09-23 06:00:00,11,96,15,10,122
2015-09-23 07:00:00,11,95,16,10,122
2015-09-23 08:00:00,12,94,17,10,296
2015-09-23 09:00:00,13,93,18,9,296
2015-09-23 10:00:00,13,87,19,9,296
2015-09-23 11:00:00,14,80,20,10,176
2015-09-23 12:00:00,15,73,21,10,176
2015-09-23 13:00:00,15,70,20,10,176
2015-09-23 14:00:00,16,67,20,10,176
2015-09-23 15:00:00,16,65,19,10,176
2015-09-23 16:00:00,16,69,17,10,176
2015-09-23 17:00:00,15,73,15,10,113
2015-09-23 18:00:00,15,78,13,10,113
2015-09-23 19:00:00,14,81,12,10,113
2015-09-23 20:00:00,13,83,11,10,116
2015-09-23 21:00:00,12,86,11,10,116
2015-09-23 22:00:00,11,88,12,10,116
2015-09-23 23:00:00,11,91,12,10,116
2015-09-24 00:00:00,11,93,13,10,116
2015-09-24 01:00:00,11,93,15,10,116
2015-09-24 02:00:00,11,93,16,10,116
2015-09-24 03:00:00,11,93,17,10,116
2015-09-24 04:00:00,11,92,17,10,116
2015-09-24 05:00:00,11,91,18,10,116
2015-09-24 06:00:00,11,89,18,10,116
2015-09-24 07:00:00,12,87,18,10,116
2015-09-24 08:00:00,12,85,18,10,116
2015-09-24 09:00:00,13,84,19,10,116
2015-09-24 10:00:00,14,81,20,10,116
2015-09-24 11:00:00,15,79,21,10,353
2015-09-24 12:00:00,17,77,23,10,353
2015-09-24 13:00:00,17,81,22,10,353
2015-09-24 14:00:00,17,84,21,10,353
2015-09-24 15:00:00,17,87,20,10,353
2015-09-24 16:00:00,16,90,18,10,353
2015-09-24 17:00:00,16,92,17,10,353
2015-09-24 18:00:00,15,95,15,10,353
2015-09-24 19:00:00,15,95,14,8,353
2015-09-24 20:00:00,14,96,14,6,143
2015-09-24 21:00:00,14,96,13,5,143
2015-09-24 22:00:00,13,96,13,3,143
2015-09-24 23:00:00,12,97,12,2,248
2015-09-25 00:00:00,12,97,12,1,248
2015-09-25 01:00:00,11,97,11,0,248
2015-09-25 02:00:00,10,97,10,0,248
2015-09-25 03:00:00,10,97,10,0,248
2015-09-25 04:00:00,9,97,9,0,248
2015-09-25 05:00:00,9,96,9,1,143
2015-09-25 06:00:00,9,96,8,1,143
2015-09-25 07:00:00,9,89,8,3,143
2015-09-25 08:00:00,10,82,7,5,113
2015-09-25 09:00:00,10,76,7,7,113
2015-09-25 10:00:00,11,69,8,8,113
2015-09-25 11:00:00,13,63,8,9,176
2015-09-25 12:00:00,14,57,9,10,176
2015-09-25 13:00:00,15,56,9,10,176
2015-09-25 14:00:00,16,56,9,10,176
2015-09-25 15:00:00,17,56,10,9,176
2015-09-25 16:00:00,16,62,9,9,176
2015-09-25 17:00:00,16,68,9,10,113
2015-09-25 18:00:00,15,74,9,10,113
2015-09-25 19:00:00,14,80,8,10,113
2015-09-25 20:00:00,12,85,6,10,113
2015-09-25 21:00:00,11,90,5,10,113
2015-09-25 22:00:00,10,91,5,10,113
2015-09-25 23:00:00,9,91,5,10,113
2015-09-26 00:00:00,8,92,4,10,113
2015-09-26 01:00:00,7,92,4,10,113
2015-09-26 02:00:00,7,92,4,10,113
2015-09-26 03:00:00,6,92,3,10,113
2015-09-26 04:00:00,7,93,3,10,113
2015-09-26 05:00:00,7,93,4,10,113
2015-09-26 06:00:00,7,93,4,10,113
2015-09-26 07:00:00,8,86,4,10,113
2015-09-26 08:00:00,9,80,4,10,116
2015-09-26 09:00:00,9,73,4,10,116
2015-09-26 10:00:00,10,67,6,10,116
2015-09-26 11:00:00,12,61,7,10,113
2015-09-26 12:00:00,13,54,8,10,113
2015-09-26 13:00:00,14,54,10,10,113
2015-09-26 14:00:00,15,54,12,10,113
2015-09-26 15:00:00,16,54,14,10,113
2015-09-26 16:00:00,16,57,13,10,113
2015-09-26 17:00:00,15,60,13,10,116
2015-09-26 18:00:00,14,63,13,10,116
2015-09-26 19:00:00,13,68,12,10,116
2015-09-26 20:00:00,12,73,11,10,113
2015-09-26 21:00:00,11,78,10,10,113
2015-09-26 22:00:00,10,82,10,10,113
2015-09-26 23:00:00,9,86,9,10,113
2015-09-27 00:00:00,9,90,9,10,113
2015-09-27 01:00:00,8,92,9,8,113
2015-09-27 02:00:00,8,94,9,6,143
2015-09-27 03:00:00,8,96,8,5,143
2015-09-27 04:00:00,8,96,8,3,143
2015-09-27 05:00:00,7,97,8,2,248
2015-09-27 06:00:00,7,97,7,1,248
2015-09-27 07:00:00,8,91,8,3,248
2015-09-27 08:00:00,8,85,8,5,113
2015-09-27 09:00:00,9,79,9,7,113
2015-09-27 10:00:00,10,72,10,8,113
2015-09-27 11:00:00,12,65,12,9,113
2015-09-27 12:00:00,14,58,13,10,113
2015-09-27 13:00:00,15,56,14,10,113
2015-09-27 14:00:00,16,54,15,10,113
2015-09-27 15:00:00,17,52,16,10,113
2015-09-27 16:00:00,16,58,16,10,113
2015-09-27 17:00:00,15,63,15,10,113
2015-09-27 18:00:00,15,69,14,10,113
2015-09-27 19:00:00,14,73,14,10,113
2015-09-27 20:00:00,13,76,13,10,113
2015-09-27 21:00:00,11,80,12,10,113
2015-09-27 22:00:00,11,83,12,10,113
2015-09-27 23:00:00,10,86,12,10,113
2015-09-28 00:00:00,10,88,12,10,113
2015-09-28 01:00:00,9,90,11,8,113
2015-09-28 02:00:00,9,92,11,6,143
2015-09-28 03:00:00,9,94,10,5,143
2015-09-28 04:00:00,9,95,10,3,143
2015-09-28 05:00:00,8,96,9,2,248
2015-09-28 06:00:00,8,97,9,1,248
2015-09-28 07:00:00,9,91,9,3,248
2015-09-28 08:00:00,9,86,10,5,113
2015-09-28 09:00:00,10,80,10,7,113
2015-09-28 10:00:00,12,74,12,8,113
2015-09-28 11:00:00,13,69,13,9,116
2015-09-28 12:00:00,15,63,14,10,116
2015-09-28 13:00:00,15,62,15,10,116
2015-09-28 14:00:00,16,61,17,10,116
2015-09-28 15:00:00,17,59,18,10,116
2015-09-28 16:00:00,16,63,17,10,116
2015-09-28 17:00:00,15,67,16,10,116
2015-09-28 18:00:00,15,70,16,10,116
2015-09-28 19:00:00,14,74,15,10,116
2015-09-28 20:00:00,13,78,14,10,113
2015-09-28 21:00:00,12,81,14,10,113
2015-09-28 22:00:00,11,83,13,10,113
2015-09-28 23:00:00,11,84,13,10,113
2015-09-29 00:00:00,10,86,12,10,113
2015-09-29 01:00:00,9,87,12,10,113
2015-09-29 02:00:00,9,87,12,10,113
2015-09-29 03:00:00,8,88,12,10,113
2015-09-29 04:00:00,8,87,12,10,113
2015-09-29 05:00:00,8,87,12,10,113
2015-09-29 06:00:00,7,87,12,10,113
2015-09-29 07:00:00,8,81,13,10,113
2015-09-29 08:00:00,9,74,13,10,113
2015-09-29 09:00:00,10,68,14,10,113
2015-09-29 10:00:00,12,62,15,10,113
2015-09-29 11:00:00,14,57,17,10,113
2015-09-29 12:00:00,15,51,18,10,113
2015-09-29 13:00:00,16,49,20,10,113
2015-09-29 14:00:00,17,48,21,10,113
2015-09-29 15:00:00,17,46,23,10,113
2015-09-29 16:00:00,16,51,22,10,113
2015-09-29 17:00:00,16,55,21,10,116
2015-09-29 18:00:00,15,59,20,10,116
2015-09-29 19:00:00,14,62,19,10,116
2015-09-29 20:00:00,13,66,18,10,116
2015-09-29 21:00:00,12,69,17,10,116
2015-09-29 22:00:00,11,71,16,10,116
2015-09-29 23:00:00,11,72,16,10,113
2015-09-30 00:00:00,10,74,16,10,113
2015-09-30 01:00:00,10,76,16,10,113
2015-09-30 02:00:00,9,77,16,10,113
2015-09-30 03:00:00,9,79,16,10,113
2015-09-30 04:00:00,8,80,16,10,113
2015-09-30 05:00:00,8,81,16,10,113
2015-09-30 06:00:00,8,82,15,10,113
2015-09-30 07:00:00,9,77,16,10,113
2015-09-30 08:00:00,9,72,17,10,113
2015-09-30 09:00:00,10,68,17,10,113
2015-09-30 10:00:00,12,62,18,10,113
2015-09-30 11:00:00,13,56,19,10,113
2015-09-30 12:00:00,15,50,20,10,113
2015-09-30 13:00:00,16,49,20,10,113
2015-09-30 14:00:00,16,47,20,10,113
2015-09-30 15:00:00,17,46,21,10,113
2015-09-30 16:00:00,16,50,20,10,113
2015-09-30 17:00:00,16,54,19,10,113
2015-09-30 18:00:00,15,59,18,10,113
2015-09-30 19:00:00,14,63,18,10,113
2015-09-30 20:00:00,13,66,18,10,113
2015-09-30 21:00:00,12,70,17,10,113
2015-09-30 22:00:00,12,72,17,10,113
2015-09-30 23:00:00,11,74,17,10,113
2015-10-01 00:00:00,10,76,17,10,113
2015-10-01 01:00:00,10,77,16,10,113
2015-10-01 02:00:00,9,79,15,10,113
2015-10-01 03:00:00,9,81,14,10,113
2015-10-01 04:00:00,8,82,14,10,113
2015-10-01 05:00:00,8,83,14,10,113
2015-10-01 06:00:00,8,85,14,10,113
2015-10-01 07:00:00,8,79,14,10,113
2015-10-01 08:00:00,9,73,15,10,113
2015-10-01 09:00:00,10,67,15,10,113
2015-10-01 10:00:00,12,61,17,10,113
2015-10-01 11:00:00,13,55,19,10,113
2015-10-01 12:00:00,15,49,21,10,113
2015-10-01 13:00:00,15,47,21,10,113
2015-10-01 14:00:00,16,46,21,10,113
2015-10-01 15:00:00,16,44,22,10,113
2015-10-01 16:00:00,16,48,20,10,113
2015-10-01 17:00:00,15,52,18,10,113
2015-10-01 18:00:00,14,56,17,10,113
2015-10-01 19:00:00,13,60,15,10,113
2015-10-01 20:00:00,12,63,14,10,113
2015-10-01 21:00:00,11,67,13,10,113
2015-10-01 22:00:00,10,69,13,10,113
2015-10-01 23:00:00,9,72,12,10,113
2015-10-02 00:00:00,9,74,12,10,113
2015-10-02 01:00:00,8,75,11,10,113
2015-10-02 02:00:00,7,77,10,10,113
